customer_id,customer_code,citizen_id,full_name,date_of_birth,gender,phone_number,customer_status,created_at,updated_at
55d1354d-60b3-5ce2-8c01-c7fe72539b70,CUS00000001,001800000001,Nguyễn An,1986-01-05,MALE,0910000001,ACTIVE,2024-06-01 08:00:00,2024-06-01 08:00:00
9c77af5d-2917-5d3a-b5ce-0b11fd724114,CUS00000002,001810000002,Trần Bình,1987-02-06,FEMALE,0920000002,ACTIVE,2024-06-02 08:00:00,2024-06-02 08:00:00
72552407-44ef-5535-a35b-5800112c59c8,CUS00000003,001820000003,Lê Chi,1988-03-07,MALE,0930000003,ACTIVE,2024-06-03 08:00:00,2024-06-03 08:00:00
8802faf9-c9e6-5189-8089-a5d80f1e2b17,CUS00000004,001830000004,Phạm Dũng,1989-04-08,FEMALE,0940000004,ACTIVE,2024-06-04 08:00:00,2024-06-04 08:00:00
4764a209-dd42-5276-a545-7f7ee85bf15d,CUS00000005,001840000005,Hoàng Giang,1990-05-09,MALE,0950000005,ACTIVE,2024-06-05 08:00:00,2024-06-05 08:00:00
43ed4ac5-c8ad-51d9-804c-d642abe91780,CUS00000006,001850000006,Đỗ Hà,1991-06-10,FEMALE,0960000006,ACTIVE,2024-06-06 08:00:00,2024-06-06 08:00:00
38851007-9df3-504d-9d3d-333d7a85fe32,CUS00000007,001860000007,Bùi Hùng,1992-07-11,MALE,0970000007,ACTIVE,2026-02-05 09:05:00,2026-02-05 09:05:00
7b6bc663-180a-5757-93e7-edadc6772b1c,CUS00000008,001870000008,Nguyễn Lan,1993-08-12,FEMALE,0980000008,ACTIVE,2026-02-10 09:06:00,2026-02-10 09:06:00
a145912d-b7d4-509d-b3f3-1b6ab98b7796,CUS00000009,001880000009,Trần Linh,1994-09-13,MALE,0910000009,ACTIVE,2026-02-15 09:07:00,2026-02-15 09:07:00
865195c6-e965-535b-bfe8-6b960dfb34ba,CUS00000010,001890000010,Lê Minh,1995-10-14,FEMALE,0920000010,ACTIVE,2026-02-20 09:08:00,2026-02-20 09:08:00
b600993a-b148-5a0d-bdf9-d3c181d63537,CUS00000011,001900000011,Phạm Nam,1996-11-15,MALE,0930000011,ACTIVE,2026-04-11 09:09:00,2026-04-11 09:09:00
a77840dc-511a-5267-984d-20af365843de,CUS00000012,001910000012,Hoàng Nga,1997-12-16,FEMALE,0940000012,ACTIVE,2026-04-12 09:10:00,2026-04-12 09:10:00
86c833a3-d025-5266-86d0-3ea234869f95,CUS00000013,001920000013,Đỗ Phúc,1998-01-17,MALE,0950000013,ACTIVE,2026-04-13 09:11:00,2026-04-13 09:11:00
1e6a019a-d9cf-5477-b203-ff992cc3b728,CUS00000014,001930000014,Bùi Quân,1999-02-18,FEMALE,0960000014,ACTIVE,2025-01-06 09:12:00,2025-01-06 09:12:00
4cb6dc3f-512f-5bed-a971-47ba62a401e9,CUS00000015,001940000015,Nguyễn Thảo,2000-03-19,MALE,0970000015,ACTIVE,2026-03-17 09:13:00,2026-03-17 09:13:00
f785e6c4-4143-5f1e-b245-91610df862f4,CUS00000016,001950000016,Trần Trang,2001-04-20,FEMALE,0980000016,ACTIVE,2026-03-22 09:14:00,2026-03-22 09:14:00
edfa9be2-96b0-5765-87e8-396d85b19233,CUS00000017,001960000017,Lê Tuấn,1986-05-21,MALE,0910000017,ACTIVE,2026-03-27 09:15:00,2026-03-27 09:15:00
47440573-ffb0-50b9-b72c-09ce544093c4,CUS00000018,001970000018,Phạm Vy,1987-06-22,FEMALE,0920000018,ACTIVE,2026-04-01 09:16:00,2026-04-01 09:16:00
76a79541-f26a-5da1-88f2-4cafb0ca7910,CUS00000019,001980000019,Hoàng Yến,1988-07-23,MALE,0930000019,ACTIVE,2026-04-06 09:17:00,2026-04-06 09:17:00
11286653-6521-5748-b586-f13cb6baa14f,CUS00000020,001990000020,Đỗ Khánh,1989-08-24,FEMALE,0940000020,ACTIVE,2026-04-11 09:18:00,2026-04-11 09:18:00
50dacf68-93dc-595e-bf09-8f6458a04bca,CUS00000021,001000000021,Bùi Long,1990-09-25,MALE,0950000021,ACTIVE,2026-04-16 09:19:00,2026-04-16 09:19:00
aab92294-f365-52a7-9cda-40fa0106354b,CUS00000022,001010000022,Nguyễn Mai,1991-10-26,FEMALE,0960000022,ACTIVE,2026-04-21 09:20:00,2026-04-21 09:20:00
95c4e364-5688-5e2d-a043-84e562519da2,CUS00000023,001020000023,Trần An,1992-11-27,MALE,0970000023,ACTIVE,2026-04-26 09:21:00,2026-04-26 09:21:00
