registration_id,partner_id,campaign_id,customer_id,full_name,phone_number,citizen_id,date_of_birth,gender,monthly_income,requested_amount,requested_term,loan_purpose,customer_type,status,created_at,updated_at
051128c2-18a7-55a2-a3cf-6a5ae0bc92b8,6db00a2c-4575-5ea9-8f11-03229e5dfc72,e767523e-b02f-5fa6-b6ae-4de30d140a42,55d1354d-60b3-5ce2-8c01-c7fe72539b70,Nguyễn An,0910000001,001800000001,1986-01-05,MALE,10000000.00,20000000.00,12,PERSONAL,RELOAN,CANCELLED,2026-01-06 09:00:00,2026-01-06 09:20:00
67a92321-6339-54d4-b496-69cc58df549b,4d414dc1-c726-5bfc-a155-860fa3e050a8,01776197-61bf-5a9c-8880-18283d6eabc9,9c77af5d-2917-5d3a-b5ce-0b11fd724114,Trần Bình,0920000002,001810000002,1987-02-06,FEMALE,12000000.00,30000000.00,24,EDUCATION,RELOAN,SUBMITTED,2026-01-11 09:01:00,2026-01-11 09:21:00
9bab4671-0a13-5af9-9d65-f50d85e90881,87d7bdce-bf41-585f-8ac0-df785049783a,67dcd8b8-c4e9-5b67-a8a1-2a9101caf1ed,72552407-44ef-5535-a35b-5800112c59c8,Lê Chi,0930000003,001820000003,1988-03-07,MALE,14000000.00,40000000.00,36,BUSINESS,RELOAN,SUBMITTED,2026-01-16 09:02:00,2026-01-16 09:22:00
70c77b33-c076-5726-9071-edb9150d9ab7,6db00a2c-4575-5ea9-8f11-03229e5dfc72,6415855c-d4fc-50dd-b049-e16742146395,8802faf9-c9e6-5189-8089-a5d80f1e2b17,Phạm Dũng,0940000004,001830000004,1989-04-08,FEMALE,16000000.00,50000000.00,12,PERSONAL,RELOAN,SUBMITTED,2026-01-21 09:03:00,2026-01-21 09:23:00
231fd255-a7d4-5722-8975-475b857bf18c,4d414dc1-c726-5bfc-a155-860fa3e050a8,b721b332-d6a0-5f18-b601-3e17fd10d713,4764a209-dd42-5276-a545-7f7ee85bf15d,Hoàng Giang,0950000005,001840000005,1990-05-09,MALE,18000000.00,60000000.00,24,EDUCATION,RELOAN,SUBMITTED,2026-01-26 09:04:00,2026-01-26 09:24:00
ac313438-20bb-50c0-9c73-0f9012a1bd96,87d7bdce-bf41-585f-8ac0-df785049783a,3f47f911-d078-5980-b6ac-b33b9e3f9013,43ed4ac5-c8ad-51d9-804c-d642abe91780,Đỗ Hà,0960000006,001850000006,1991-06-10,FEMALE,7500000.00,70000000.00,36,BUSINESS,RELOAN,SUBMITTED,2026-01-31 09:05:00,2026-01-31 09:25:00
de6ba69e-3957-555f-b684-c4ae1caa8f14,6db00a2c-4575-5ea9-8f11-03229e5dfc72,e767523e-b02f-5fa6-b6ae-4de30d140a42,38851007-9df3-504d-9d3d-333d7a85fe32,Bùi Hùng,0970000007,001860000007,1992-07-11,MALE,22000000.00,20000000.00,12,PERSONAL,NEW_TO_BANK,SUBMITTED,2026-02-05 09:06:00,2026-02-05 09:26:00
5576ff8a-abc3-5e15-8d16-ac97df6da465,4d414dc1-c726-5bfc-a155-860fa3e050a8,01776197-61bf-5a9c-8880-18283d6eabc9,7b6bc663-180a-5757-93e7-edadc6772b1c,Nguyễn Lan,0980000008,001870000008,1993-08-12,FEMALE,24000000.00,30000000.00,24,EDUCATION,NEW_TO_BANK,SUBMITTED,2026-02-10 09:07:00,2026-02-10 09:27:00
271dbafc-8393-54d8-8ec1-8f0f8601a650,87d7bdce-bf41-585f-8ac0-df785049783a,67dcd8b8-c4e9-5b67-a8a1-2a9101caf1ed,a145912d-b7d4-509d-b3f3-1b6ab98b7796,Trần Linh,0910000009,001880000009,1994-09-13,MALE,26000000.00,40000000.00,36,BUSINESS,NEW_TO_BANK,SUBMITTED,2026-02-15 09:08:00,2026-02-15 09:28:00
6e7ac608-6ceb-59e1-b80d-2254d3652a2a,6db00a2c-4575-5ea9-8f11-03229e5dfc72,6415855c-d4fc-50dd-b049-e16742146395,865195c6-e965-535b-bfe8-6b960dfb34ba,Lê Minh,0920000010,001890000010,1995-10-14,FEMALE,10000000.00,50000000.00,12,PERSONAL,NEW_TO_BANK,SUBMITTED,2026-02-20 09:09:00,2026-02-20 09:29:00
